  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.50000
Number of "drawing" timesteps:    499
  exp. factor        a1             a2             a3         exp. ratio   
      0.608763  39992.428067    121.880592     40.094833      6.087625
      0.610423  41269.875137    122.542852     40.285130      6.104229
      0.612081  42585.613695    123.205155     40.475429      6.120810
      0.613737  43940.717406    123.867499     40.665729      6.137369
      0.615391  45336.288002    124.529884     40.856031      6.153905
      0.617042  46773.455955    125.192309     41.046333      6.170419
      0.618691  48253.381182    125.854772     41.236638      6.186911
      0.620338  49777.253750    126.517272     41.426943      6.203382
      0.621983  51346.294609    127.179808     41.617250      6.219830
      0.623626  52961.756336    127.842379     41.807558      6.236256
      0.625266  54624.923893    128.504984     41.997868      6.252661
      0.626904  56337.115407    129.167623     42.188178      6.269045
      0.628541  58099.682968    129.830294     42.378490      6.285407
      0.630175  59914.013435    130.492996     42.568802      6.301748
      0.631807  61781.529276    131.155729     42.759116      6.318068
      0.633437  63703.689409    131.818492     42.949431      6.334366
      0.635064  65681.990077    132.481283     43.139747      6.350644
      0.636690  67717.965729    133.144102     43.330063      6.366901
      0.638314  69813.189933    133.806949     43.520381      6.383137
      0.639935  71969.276297    134.469822     43.710700      6.399353
      0.641555  74187.879422    135.132721     43.901019      6.415548
      0.643172  76470.695864    135.795645     44.091340      6.431722
      0.644788  78819.465127    136.458594     44.281661      6.447877
      0.646401  81235.970673    137.121566     44.471983      6.464011
      0.648012  83722.040951    137.784561     44.662305      6.480125
      0.649622  86279.550459    138.447579     44.852629      6.496219
      0.651229  88910.420816    139.110618     45.042953      6.512293
      0.652835  91616.621865    139.773679     45.233278      6.528347
      0.654438  94400.172800    140.436760     45.423604      6.544381
      0.656040  97263.143313    141.099862     45.613930      6.560396
      0.657639 100207.654771    141.762982     45.804257      6.576392
      0.659237 103235.881413    142.426122     45.994585      6.592368
      0.660832 106350.051578    143.089281     46.184913      6.608324
      0.662426 109552.448956    143.752457     46.375242      6.624262
      0.664018 112845.413864    144.415651     46.565572      6.640180
      0.665608 116231.344556    145.078862     46.755902      6.656079
      0.667196 119712.698556    145.742089     46.946232      6.671959
      0.668782 123291.994019    146.405333     47.136564      6.687820
      0.670366 126971.811122    147.068592     47.326895      6.703663
      0.671949 130754.793489    147.731866     47.517227      6.719487
      0.673529 134643.649636    148.395156     47.707560      6.735292
      0.675108 138641.154458    149.058459     47.897893      6.751079
      0.676685 142750.150742    149.721777     48.088227      6.766847
      0.678260 146973.550709    150.385108     48.278561      6.782597
      0.679833 151314.337596    151.048453     48.468895      6.798329
      0.681404 155775.567264    151.711811     48.659230      6.814042
      0.682974 160360.369844    152.375181     48.849566      6.829737
      0.684541 165071.951419    153.038564     49.039902      6.845415
      0.686107 169913.595736    153.701958     49.230238      6.861074
      0.687672 174888.665956    154.365364     49.420574      6.876716
      0.689234 180000.606447    155.028782     49.610911      6.892340
      0.690795 185252.944601    155.692210     49.801248      6.907946
      0.692353 190649.292704    156.355649     49.991586      6.923534
      0.693911 196193.349831    157.019099     50.181924      6.939105
      0.695466 201888.903792    157.682558     50.372262      6.954659
      0.697019 207739.833112    158.346028     50.562601      6.970195
      0.698571 213750.109050    159.009507     50.752940      6.985714
      0.700122 219923.797668    159.672996     50.943279      7.001215
      0.701670 226265.061936    160.336494     51.133619      7.016700
      0.703217 232778.163881    161.000000     51.323958      7.032167
      0.704762 239467.466781    161.663516     51.514298      7.047618
      0.706305 246337.437407    162.327039     51.704639      7.063051
      0.707847 253392.648308    162.990571     51.894979      7.078468
      0.709387 260637.780142    163.654111     52.085320      7.093868
      0.710925 268077.624056    164.317659     52.275662      7.109251
      0.712462 275717.084117    164.981214     52.466003      7.124618
      0.713997 283561.179787    165.644777     52.656345      7.139968
      0.715530 291615.048456    166.308347     52.846686      7.155301
      0.717062 299883.948015    166.971923     53.037028      7.170618
      0.718592 308373.259499    167.635507     53.227371      7.185919
      0.720120 317088.489764    168.299097     53.417713      7.201204
      0.721647 326035.274229    168.962694     53.608056      7.216472
      0.723172 335219.379677    169.626297     53.798399      7.231724
      0.724696 344646.707100    170.289906     53.988742      7.246960
      0.726218 354323.294615    170.953522     54.179085      7.262181
      0.727738 364255.320426    171.617143     54.369429      7.277385
      0.729257 374449.105857    172.280769     54.559773      7.292573
      0.730775 384911.118440    172.944402     54.750116      7.307746
      0.732290 395647.975061    173.608039     54.940460      7.322902
      0.733804 406666.445180    174.271682     55.130805      7.338044
      0.735317 417973.454105    174.935330     55.321149      7.353169
      0.736828 429576.086334    175.598983     55.511493      7.368279
      0.738337 441481.588968    176.262641     55.701838      7.383373
      0.739845 453697.375189    176.926303     55.892183      7.398453
      0.741352 466231.027801    177.589971     56.082528      7.413516
      0.742856 479090.302855    178.253642     56.272873      7.428565
      0.744360 492283.133330    178.917318     56.463218      7.443598
      0.745862 505817.632902    179.580999     56.653564      7.458616
      0.747362 519702.099773    180.244683     56.843909      7.473619
      0.748861 533945.020587    180.908372     57.034255      7.488607
      0.750358 548555.074418    181.572064     57.224600      7.503580
      0.751854 563541.136836    182.235761     57.414946      7.518538
      0.753348 578912.284054    182.899461     57.605292      7.533481
      0.754841 594677.797156    183.563165     57.795638      7.548409
      0.756332 610847.166409    184.226872     57.985985      7.563323
      0.757822 627430.095658    184.890583     58.176331      7.578222
      0.759311 644436.506808    185.554297     58.366677      7.593106
      0.760798 661876.544388    186.218015     58.557024      7.607976
      0.762283 679760.580214    186.881735     58.747371      7.622831
      0.763767 698099.218135    187.545459     58.937717      7.637672
      0.765250 716903.298873    188.209186     59.128064      7.652498
