  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.90000   0.80000   0.00000   0.00000   0.00000   0.10000  -0.15517
Number of "drawing" timesteps:    500
  exp. factor        a1             a2             a3         exp. ratio   
      0.680545     15.914750     15.213275     14.630507      6.805448
      0.682112     15.969382     15.265705     14.681168      6.821121
      0.683678     16.024015     15.318134     14.731829      6.836777
      0.685242     16.078648     15.370564     14.782490      6.852415
      0.686804     16.133281     15.422994     14.833151      6.868035
      0.688364     16.187913     15.475423     14.883813      6.883638
      0.689922     16.242546     15.527853     14.934474      6.899222
      0.691479     16.297179     15.580282     14.985135      6.914789
      0.693034     16.351812     15.632712     15.035796      6.930339
      0.694587     16.406445     15.685141     15.086457      6.945871
      0.696139     16.461077     15.737571     15.137119      6.961386
      0.697688     16.515710     15.790001     15.187780      6.976884
      0.699236     16.570343     15.842430     15.238441      6.992364
      0.700783     16.624976     15.894860     15.289102      7.007827
      0.702327     16.679608     15.947289     15.339763      7.023273
      0.703870     16.734241     15.999719     15.390425      7.038703
      0.705411     16.788874     16.052149     15.441086      7.054115
      0.706951     16.843507     16.104578     15.491747      7.069510
      0.708489     16.898140     16.157008     15.542408      7.084889
      0.710025     16.952772     16.209437     15.593069      7.100251
      0.711560     17.007405     16.261867     15.643731      7.115597
      0.713093     17.062038     16.314296     15.694392      7.130926
      0.714624     17.116671     16.366726     15.745053      7.146238
      0.716153     17.171304     16.419156     15.795714      7.161535
      0.717681     17.225936     16.471585     15.846375      7.176814
      0.719208     17.280569     16.524015     15.897037      7.192078
      0.720733     17.335202     16.576444     15.947698      7.207325
      0.722256     17.389835     16.628874     15.998359      7.222557
      0.723777     17.444467     16.681303     16.049020      7.237772
      0.725297     17.499100     16.733733     16.099681      7.252971
      0.726815     17.553733     16.786163     16.150343      7.268154
      0.728332     17.608366     16.838592     16.201004      7.283322
      0.729847     17.662999     16.891022     16.251665      7.298474
      0.731361     17.717631     16.943451     16.302326      7.313610
      0.732873     17.772264     16.995881     16.352987      7.328730
      0.734383     17.826897     17.048311     16.403649      7.343835
      0.735892     17.881530     17.100740     16.454310      7.358924
      0.737400     17.936162     17.153170     16.504971      7.373998
      0.738906     17.990795     17.205599     16.555632      7.389056
      0.740410     18.045428     17.258029     16.606293      7.404099
      0.741913     18.100061     17.310458     16.656955      7.419127
      0.743414     18.154694     17.362888     16.707616      7.434140
      0.744914     18.209326     17.415318     16.758277      7.449137
      0.746412     18.263959     17.467747     16.808938      7.464120
      0.747909     18.318592     17.520177     16.859599      7.479087
      0.749404     18.373225     17.572606     16.910261      7.494040
      0.750898     18.427858     17.625036     16.960922      7.508977
      0.752390     18.482490     17.677465     17.011583      7.523900
      0.753881     18.537123     17.729895     17.062244      7.538808
      0.755370     18.591756     17.782325     17.112905      7.553701
      0.756858     18.646389     17.834754     17.163567      7.568579
      0.758344     18.701021     17.887184     17.214228      7.583443
      0.759829     18.755654     17.939613     17.264889      7.598293
      0.761313     18.810287     17.992043     17.315550      7.613127
      0.762795     18.864920     18.044473     17.366211      7.627948
      0.764275     18.919553     18.096902     17.416873      7.642754
      0.765755     18.974185     18.149332     17.467534      7.657546
      0.767232     19.028818     18.201761     17.518195      7.672323
      0.768709     19.083451     18.254191     17.568856      7.687086
      0.770184     19.138084     18.306620     17.619517      7.701835
      0.771657     19.192716     18.359050     17.670179      7.716570
      0.773129     19.247349     18.411480     17.720840      7.731291
      0.774600     19.301982     18.463909     17.771501      7.745998
      0.776069     19.356615     18.516339     17.822162      7.760691
      0.777537     19.411248     18.568768     17.872823      7.775370
      0.779004     19.465880     18.621198     17.923484      7.790035
      0.780469     19.520513     18.673627     17.974146      7.804686
      0.781932     19.575146     18.726057     18.024807      7.819324
      0.783395     19.629779     18.778487     18.075468      7.833948
      0.784856     19.684412     18.830916     18.126129      7.848558
      0.786316     19.739044     18.883346     18.176790      7.863155
      0.787774     19.793677     18.935775     18.227452      7.877738
      0.789231     19.848310     18.988205     18.278113      7.892308
      0.790686     19.902943     19.040635     18.328774      7.906864
      0.792141     19.957575     19.093064     18.379435      7.921407
      0.793594     20.012208     19.145494     18.430096      7.935937
      0.795045     20.066841     19.197923     18.480758      7.950453
      0.796496     20.121474     19.250353     18.531419      7.964956
      0.797945     20.176107     19.302782     18.582080      7.979446
      0.799392     20.230739     19.355212     18.632741      7.993923
      0.800839     20.285372     19.407642     18.683402      8.008386
      0.802284     20.340005     19.460071     18.734064      8.022837
      0.803727     20.394638     19.512501     18.784725      8.037274
      0.805170     20.449270     19.564930     18.835386      8.051699
      0.806611     20.503903     19.617360     18.886047      8.066111
      0.808051     20.558536     19.669789     18.936708      8.080509
      0.809490     20.613169     19.722219     18.987370      8.094895
      0.810927     20.667802     19.774649     19.038031      8.109269
      0.812363     20.722434     19.827078     19.088692      8.123629
      0.813798     20.777067     19.879508     19.139353      8.137977
      0.815231     20.831700     19.931937     19.190014      8.152312
      0.816663     20.886333     19.984367     19.240676      8.166635
      0.818094     20.940966     20.036797     19.291337      8.180945
      0.819524     20.995598     20.089226     19.341998      8.195242
      0.820953     21.050231     20.141656     19.392659      8.209528
      0.822380     21.104864     20.194085     19.443320      8.223800
      0.823806     21.159497     20.246515     19.493982      8.238060
      0.825231     21.214129     20.298944     19.544643      8.252308
      0.826654     21.268762     20.351374     19.595304      8.266544
      0.828077     21.323395     20.403804     19.645965      8.280767
      0.829498     21.378028     20.456233     19.696626      8.294979
      0.830918     21.432661     20.508663     19.747288      8.309178
      0.832336     21.487293     20.561092     19.797949      8.323365
      0.833754     21.541926     20.613522     19.848610      8.337540
      0.835170     21.596559     20.665952     19.899271      8.351702
      0.836585     21.651192     20.718381     19.949932      8.365853
      0.837999     21.705824     20.770811     20.000594      8.379992
      0.839412     21.760457     20.823240     20.051255      8.394119
      0.840823     21.815090     20.875670     20.101916      8.408234
      0.842234     21.869723     20.928099     20.152577      8.422337
      0.843643     21.924356     20.980529     20.203238      8.436429
      0.845051     21.978988     21.032959     20.253900      8.450508
