  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   1.00000   1.00000   0.00000   0.00000   0.00000   0.10000   0.00000
Number of "drawing" timesteps:    500
  exp. factor        a1             a2             a3         exp. ratio   
      0.512927      5.879085      5.879085      5.879085      5.129270
      0.514732      5.890763      5.890763      5.890763      5.147318
      0.516534      5.902312      5.902312      5.902312      5.165335
      0.518332      5.913732      5.913732      5.913732      5.183321
      0.520128      5.925025      5.925025      5.925025      5.201275
      0.521920      5.936191      5.936191      5.936191      5.219199
      0.523709      5.947230      5.947230      5.947230      5.237092
      0.525495      5.958144      5.958144      5.958144      5.254954
      0.527279      5.968932      5.968932      5.968932      5.272786
      0.529059      5.979595      5.979595      5.979595      5.290588
      0.530836      5.990135      5.990135      5.990135      5.308360
      0.532610      6.000551      6.000551      6.000551      5.326102
      0.534382      6.010845      6.010845      6.010845      5.343815
      0.536150      6.021016      6.021016      6.021016      5.361499
      0.537915      6.031066      6.031066      6.031066      5.379153
      0.539678      6.040995      6.040995      6.040995      5.396778
      0.541438      6.050804      6.050804      6.050804      5.414375
      0.543194      6.060493      6.060493      6.060493      5.431943
      0.544948      6.070062      6.070062      6.070062      5.449483
      0.546699      6.079513      6.079513      6.079513      5.466995
      0.548448      6.088846      6.088846      6.088846      5.484478
      0.550193      6.098062      6.098062      6.098062      5.501934
      0.551936      6.107160      6.107160      6.107160      5.519362
      0.553676      6.116143      6.116143      6.116143      5.536763
      0.555414      6.125009      6.125009      6.125009      5.554136
      0.557148      6.133761      6.133761      6.133761      5.571483
      0.558880      6.142397      6.142397      6.142397      5.588802
      0.560609      6.150920      6.150920      6.150920      5.606095
      0.562336      6.159329      6.159329      6.159329      5.623360
      0.564060      6.167625      6.167625      6.167625      5.640600
      0.565781      6.175808      6.175808      6.175808      5.657813
      0.567500      6.183880      6.183880      6.183880      5.675000
      0.569216      6.191840      6.191840      6.191840      5.692161
      0.570930      6.199689      6.199689      6.199689      5.709296
      0.572641      6.207428      6.207428      6.207428      5.726405
      0.574349      6.215057      6.215057      6.215057      5.743489
      0.576055      6.222576      6.222576      6.222576      5.760548
      0.577758      6.229987      6.229987      6.229987      5.777581
      0.579459      6.237290      6.237290      6.237290      5.794590
      0.581157      6.244484      6.244484      6.244484      5.811573
      0.582853      6.251572      6.251572      6.251572      5.828531
      0.584547      6.258553      6.258553      6.258553      5.845465
      0.586237      6.265427      6.265427      6.265427      5.862375
      0.587926      6.272196      6.272196      6.272196      5.879260
      0.589612      6.278859      6.278859      6.278859      5.896121
      0.591296      6.285417      6.285417      6.285417      5.912958
      0.592977      6.291872      6.291872      6.291872      5.929771
      0.594656      6.298222      6.298222      6.298222      5.946560
      0.596333      6.304469      6.304469      6.304469      5.963325
      0.598007      6.310613      6.310613      6.310613      5.980067
      0.599679      6.316655      6.316655      6.316655      5.996785
      0.601348      6.322595      6.322595      6.322595      6.013481
      0.603015      6.328433      6.328433      6.328433      6.030153
      0.604680      6.334170      6.334170      6.334170      6.046802
      0.606343      6.339807      6.339807      6.339807      6.063428
      0.608003      6.345344      6.345344      6.345344      6.080031
      0.609661      6.350781      6.350781      6.350781      6.096612
      0.611317      6.356119      6.356119      6.356119      6.113170
      0.612971      6.361358      6.361358      6.361358      6.129706
      0.614622      6.366499      6.366499      6.366499      6.146220
      0.616271      6.371543      6.371543      6.371543      6.162711
      0.617918      6.376489      6.376489      6.376489      6.179180
      0.619563      6.381338      6.381338      6.381338      6.195628
      0.621205      6.386090      6.386090      6.386090      6.212053
      0.622846      6.390747      6.390747      6.390747      6.228457
      0.624484      6.395308      6.395308      6.395308      6.244840
      0.626120      6.399773      6.399773      6.399773      6.261201
      0.627754      6.404144      6.404144      6.404144      6.277540
      0.629386      6.408421      6.408421      6.408421      6.293859
      0.631016      6.412604      6.412604      6.412604      6.310156
      0.632643      6.416693      6.416693      6.416693      6.326432
      0.634269      6.420690      6.420690      6.420690      6.342687
      0.635892      6.424594      6.424594      6.424594      6.358922
      0.637514      6.428405      6.428405      6.428405      6.375136
      0.639133      6.432125      6.432125      6.432125      6.391329
      0.640750      6.435753      6.435753      6.435753      6.407501
      0.642365      6.439291      6.439291      6.439291      6.423654
      0.643979      6.442738      6.442738      6.442738      6.439786
      0.645590      6.446094      6.446094      6.446094      6.455898
      0.647199      6.449361      6.449361      6.449361      6.471989
      0.648806      6.452539      6.452539      6.452539      6.488061
      0.650411      6.455628      6.455628      6.455628      6.504113
      0.652015      6.458628      6.458628      6.458628      6.520145
      0.653616      6.461540      6.461540      6.461540      6.536158
      0.655215      6.464364      6.464364      6.464364      6.552151
      0.656812      6.467101      6.467101      6.467101      6.568124
      0.658408      6.469751      6.469751      6.469751      6.584078
      0.660001      6.472314      6.472314      6.472314      6.600013
      0.661593      6.474791      6.474791      6.474791      6.615928
      0.663182      6.477182      6.477182      6.477182      6.631824
      0.664770      6.479488      6.479488      6.479488      6.647702
      0.666356      6.481709      6.481709      6.481709      6.663560
      0.667940      6.483845      6.483845      6.483845      6.679399
      0.669522      6.485896      6.485896      6.485896      6.695220
      0.671102      6.487864      6.487864      6.487864      6.711022
      0.672681      6.489748      6.489748      6.489748      6.726806
      0.674257      6.491549      6.491549      6.491549      6.742571
      0.675832      6.493267      6.493267      6.493267      6.758317
      0.677405      6.494903      6.494903      6.494903      6.774046
      0.678976      6.496456      6.496456      6.496456      6.789756
      0.680545      6.497928      6.497928      6.497928      6.805448
      0.682112      6.499318      6.499318      6.499318      6.821121
      0.683678      6.500627      6.500627      6.500627      6.836777
      0.685242      6.501855      6.501855      6.501855      6.852415
      0.686804      6.503003      6.503003      6.503003      6.868035
      0.688364      6.504072      6.504072      6.504072      6.883638
      0.689922      6.505060      6.505060      6.505060      6.899222
      0.691479      6.505969      6.505969      6.505969      6.914789
      0.693034      6.506799      6.506799      6.506799      6.930339
      0.694587      6.507551      6.507551      6.507551      6.945871
      0.696139      6.508224      6.508224      6.508224      6.961386
      0.697688      6.508819      6.508819      6.508819      6.976884
      0.699236      6.509337      6.509337      6.509337      6.992364
      0.700783      6.509778      6.509778      6.509778      7.007827
      0.702327      6.510141      6.510141      6.510141      7.023273
      0.703870      6.510428      6.510428      6.510428      7.038703
      0.705411      6.510639      6.510639      6.510639      7.054115
      0.706951      6.510774      6.510774      6.510774      7.069510
      0.708489      6.510833      6.510833      6.510833      7.084889
      0.710025      6.510817      6.510817      6.510817      7.100251
      0.711560      6.510726      6.510726      6.510726      7.115597
      0.713093      6.510561      6.510561      6.510561      7.130926
      0.714624      6.510321      6.510321      6.510321      7.146238
      0.716153      6.510007      6.510007      6.510007      7.161535
      0.717681      6.509619      6.509619      6.509619      7.176814
      0.719208      6.509159      6.509159      6.509159      7.192078
      0.720733      6.508625      6.508625      6.508625      7.207325
      0.722256      6.508018      6.508018      6.508018      7.222557
      0.723777      6.507339      6.507339      6.507339      7.237772
      0.725297      6.506588      6.506588      6.506588      7.252971
      0.726815      6.505765      6.505765      6.505765      7.268154
      0.728332      6.504871      6.504871      6.504871      7.283322
      0.729847      6.503905      6.503905      6.503905      7.298474
      0.731361      6.502869      6.502869      6.502869      7.313610
      0.732873      6.501762      6.501762      6.501762      7.328730
      0.734383      6.500585      6.500585      6.500585      7.343835
      0.735892      6.499338      6.499338      6.499338      7.358924
      0.737400      6.498022      6.498022      6.498022      7.373998
      0.738906      6.496636      6.496636      6.496636      7.389056
      0.740410      6.495180      6.495180      6.495180      7.404099
      0.741913      6.493657      6.493657      6.493657      7.419127
      0.743414      6.492064      6.492064      6.492064      7.434140
      0.744914      6.490404      6.490404      6.490404      7.449137
      0.746412      6.488676      6.488676      6.488676      7.464120
      0.747909      6.486880      6.486880      6.486880      7.479087
      0.749404      6.485017      6.485017      6.485017      7.494040
      0.750898      6.483086      6.483086      6.483086      7.508977
      0.752390      6.481089      6.481089      6.481089      7.523900
      0.753881      6.479026      6.479026      6.479026      7.538808
      0.755370      6.476897      6.476897      6.476897      7.553701
      0.756858      6.474701      6.474701      6.474701      7.568579
      0.758344      6.472440      6.472440      6.472440      7.583443
      0.759829      6.470114      6.470114      6.470114      7.598293
      0.761313      6.467723      6.467723      6.467723      7.613127
      0.762795      6.465267      6.465267      6.465267      7.627948
      0.764275      6.462746      6.462746      6.462746      7.642754
      0.765755      6.460161      6.460161      6.460161      7.657546
      0.767232      6.457513      6.457513      6.457513      7.672323
      0.768709      6.454800      6.454800      6.454800      7.687086
