  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.50000
      Tau        exp. factor        a1             a2             a3         exp. ratio   
      5.405642      0.444227   1656.133201     61.529530     22.611044      4.442273
      5.441144      0.446170   1720.651161     62.170945     22.800428      4.461702
      5.476646      0.448109   1787.515399     62.813018     22.989844      4.481089
      5.512148      0.450043   1856.805564     63.455729     23.179291      4.500434
      5.547651      0.451974   1928.603818     64.099059     23.368769      4.519737
      5.583153      0.453900   2002.994906     64.742990     23.558275      4.538999
      5.618655      0.455822   2080.066239     65.387505     23.747810      4.558220
      5.654157      0.457740   2159.907964     66.032586     23.937372      4.577401
      5.689659      0.459654   2242.613045     66.678216     24.126961      4.596542
      5.725161      0.461564   2328.277347     67.324380     24.316574      4.615643
      5.760663      0.463470   2416.999717     67.971061     24.506212      4.634705
      5.796166      0.465373   2508.882073     68.618243     24.695874      4.653727
      5.831668      0.467271   2604.029487     69.265913     24.885558      4.672711
      5.867170      0.469166   2702.550280     69.914056     25.075264      4.691656
      5.902672      0.471056   2804.556113     70.562658     25.264992      4.710563
      5.938174      0.472943   2910.162083     71.211704     25.454740      4.729433
      5.973676      0.474826   3019.486820     71.861182     25.644507      4.748264
      6.009178      0.476706   3132.652587     72.511080     25.834294      4.767059
      6.044681      0.478582   3249.785385     73.161384     26.024099      4.785816
      6.080183      0.480454   3371.015056     73.812082     26.213922      4.804537
      6.115685      0.482322   3496.475395     74.463163     26.403762      4.823221
      6.151187      0.484187   3626.304256     75.114616     26.593618      4.841869
      6.186689      0.486048   3760.643671     75.766429     26.783491      4.860481
      6.222191      0.487906   3899.639966     76.418592     26.973379      4.879058
      6.257694      0.489760   4043.443879     77.071094     27.163282      4.897600
      6.293196      0.491611   4192.210685     77.723925     27.353199      4.916106
      6.328698      0.493458   4346.100321     78.377076     27.543130      4.934578
      6.364200      0.495301   4505.277518     79.030537     27.733075      4.953015
      6.399702      0.497142   4669.911933     79.684298     27.923033      4.971418
      6.435204      0.498979   4840.178284     80.338352     28.113003      4.989787
      6.470706      0.500812   5016.256489     80.992688     28.302986      5.008122
      6.506209      0.502642   5198.331815     81.647299     28.492980      5.026423
      6.541711      0.504469   5386.595018     82.302177     28.682985      5.044692
      6.577213      0.506293   5581.242498     82.957314     28.873002      5.062927
      6.612715      0.508113   5782.476453     83.612701     29.063029      5.081130
      6.648217      0.509930   5990.505036     84.268332     29.253066      5.099300
      6.683719      0.511744   6205.542520     84.924200     29.443113      5.117438
      6.719221      0.513554   6427.809462     85.580297     29.633170      5.135543
      6.754724      0.515362   6657.532874     86.236617     29.823236      5.153617
      6.790226      0.517166   6894.946402     86.893152     30.013311      5.171659
      6.825728      0.518967   7140.290498     87.549897     30.203395      5.189670
      6.861230      0.520765   7393.812613     88.206846     30.393487      5.207649
      6.896732      0.522560   7655.767376     88.863992     30.583587      5.225598
      6.932234      0.524352   7926.416795     89.521330     30.773695      5.243516
      6.967736      0.526140   8206.030452     90.178853     30.963810      5.261403
      7.003239      0.527926   8494.885702     90.836557     31.153933      5.279260
      7.038741      0.529709   8793.267890     91.494436     31.344062      5.297086
      7.074243      0.531488   9101.470554     92.152485     31.534199      5.314883
      7.109745      0.533265   9419.795650     92.810699     31.724342      5.332650
      7.145247      0.535039   9748.553774     93.469074     31.914492      5.350388
      7.180749      0.536810  10088.064388     94.127603     32.104648      5.368096
      7.216251      0.538577  10438.656060     94.786284     32.294809      5.385775
      7.251754      0.540342  10800.666699     95.445111     32.484977      5.403425
      7.287256      0.542105  11174.443807     96.104080     32.675150      5.421046
      7.322758      0.543864  11560.344727     96.763187     32.865329      5.438639
