  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.50000
      Tau        exp. factor        v1             v2             v3         exp. ratio   
      5.299136      0.438373      8.631082      2.399913      1.922331      4.383730
      5.334638      0.440329      8.667288      2.393086      1.919108      4.403287
      5.370140      0.442280      8.703367      2.386330      1.915928      4.422802
      5.405642      0.444227      8.739319      2.379645      1.912790      4.442273
      5.441144      0.446170      8.775143      2.373030      1.909694      4.461702
      5.476646      0.448109      8.810839      2.366485      1.906639      4.481089
      5.512148      0.450043      8.846406      2.360009      1.903623      4.500434
      5.547651      0.451974      8.881846      2.353602      1.900648      4.519737
      5.583153      0.453900      8.917156      2.347263      1.897711      4.538999
      5.618655      0.455822      8.952338      2.340991      1.894812      4.558220
      5.654157      0.457740      8.987391      2.334787      1.891951      4.577401
      5.689659      0.459654      9.022315      2.328649      1.889127      4.596542
      5.725161      0.461564      9.057110      2.322576      1.886339      4.615643
      5.760663      0.463470      9.091776      2.316570      1.883587      4.634705
      5.796166      0.465373      9.126313      2.310627      1.880869      4.653727
      5.831668      0.467271      9.160721      2.304749      1.878187      4.672711
      5.867170      0.469166      9.195000      2.298935      1.875538      4.691656
      5.902672      0.471056      9.229151      2.293183      1.872923      4.710563
      5.938174      0.472943      9.263173      2.287494      1.870340      4.729433
      5.973676      0.474826      9.297066      2.281866      1.867790      4.748264
      6.009178      0.476706      9.330832      2.276299      1.865272      4.767059
      6.044681      0.478582      9.364469      2.270793      1.862785      4.785816
      6.080183      0.480454      9.397979      2.265347      1.860328      4.804537
      6.115685      0.482322      9.431361      2.259959      1.857902      4.823221
      6.151187      0.484187      9.464617      2.254630      1.855506      4.841869
      6.186689      0.486048      9.497745      2.249360      1.853138      4.860481
      6.222191      0.487906      9.530747      2.244146      1.850800      4.879058
      6.257694      0.489760      9.563622      2.238989      1.848490      4.897600
      6.293196      0.491611      9.596372      2.233888      1.846208      4.916106
      6.328698      0.493458      9.628997      2.228843      1.843953      4.934578
      6.364200      0.495301      9.661496      2.223852      1.841725      4.953015
      6.399702      0.497142      9.693871      2.218916      1.839524      4.971418
      6.435204      0.498979      9.726122      2.214033      1.837349      4.989787
      6.470706      0.500812      9.758249      2.209204      1.835199      5.008122
      6.506209      0.502642      9.790252      2.204426      1.833075      5.026423
      6.541711      0.504469      9.822133      2.199701      1.830976      5.044692
      6.577213      0.506293      9.853892      2.195026      1.828901      5.062927
      6.612715      0.508113      9.885528      2.190403      1.826850      5.081130
      6.648217      0.509930      9.917044      2.185829      1.824823      5.099300
      6.683719      0.511744      9.948438      2.181304      1.822819      5.117438
      6.719221      0.513554      9.979712      2.176829      1.820839      5.135543
      6.754724      0.515362     10.010867      2.172401      1.818881      5.153617
      6.790226      0.517166     10.041902      2.168022      1.816945      5.171659
      6.825728      0.518967     10.072818      2.163689      1.815031      5.189670
      6.861230      0.520765     10.103616      2.159403      1.813139      5.207649
      6.896732      0.522560     10.134297      2.155163      1.811268      5.225598
      6.932234      0.524352     10.164861      2.150968      1.809418      5.243516
      6.967736      0.526140     10.195307      2.146818      1.807589      5.261403
      7.003239      0.527926     10.225639      2.142712      1.805780      5.279260
      7.038741      0.529709     10.255854      2.138650      1.803991      5.297086
      7.074243      0.531488     10.285955      2.134631      1.802221      5.314883
      7.109745      0.533265     10.315942      2.130655      1.800472      5.332650
      7.145247      0.535039     10.345815      2.126721      1.798741      5.350388
      7.180749      0.536810     10.375574      2.122829      1.797029      5.368096
      7.216251      0.538577     10.405222      2.118977      1.795335      5.385775
      7.251754      0.540342     10.434757      2.115167      1.793660      5.403425
      7.287256      0.542105     10.464182      2.111396      1.792002      5.421046
      7.322758      0.543864     10.493495      2.107665      1.790363      5.438639
      7.358260      0.545620     10.522699      2.103973      1.788741      5.456203
      7.393762      0.547374     10.551793      2.100320      1.787136      5.473739
      7.429264      0.549125     10.580778      2.096705      1.785548      5.491247
      7.464766      0.550873     10.609655      2.093127      1.783976      5.508727
      7.500269      0.552618     10.638424      2.089586      1.782421      5.526179
      7.535771      0.554360     10.667086      2.086083      1.780883      5.543604
      7.571273      0.556100     10.695641      2.082615      1.779360      5.561002
      7.606775      0.557837     10.724090      2.079183      1.777853      5.578372
      7.642277      0.559572     10.752435      2.075787      1.776361      5.595715
      7.677779      0.561303     10.780674      2.072425      1.774885      5.613032
      7.713281      0.563032     10.808809      2.069098      1.773424      5.630322
      7.748784      0.564758     10.836841      2.065804      1.771978      5.647585
      7.784286      0.566482     10.864770      2.062545      1.770546      5.664822
      7.819788      0.568203     10.892597      2.059318      1.769129      5.682033
      7.855290      0.569922     10.920321      2.056124      1.767726      5.699218
      7.890792      0.571638     10.947945      2.052962      1.766337      5.716376
      7.926294      0.573351     10.975468      2.049833      1.764962      5.733510
      7.961796      0.575062     11.002891      2.046734      1.763600      5.750617
      7.997299      0.576770     11.030215      2.043667      1.762252      5.767700
