  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.70690
Number of "drawing" timesteps:    500
  exp. factor        a1             a2             a3         exp. ratio   
      0.706951     17.876123     16.723574     16.678140      7.069510
      0.708489     17.936043     16.778483     16.733582      7.084889
      0.710025     17.995983     16.833392     16.789024      7.100251
      0.711560     18.055944     16.888301     16.844466      7.115597
      0.713093     18.115925     16.943210     16.899908      7.130926
      0.714624     18.175927     16.998119     16.955350      7.146238
      0.716153     18.235950     17.053028     17.010792      7.161535
      0.717681     18.295994     17.107936     17.066233      7.176814
      0.719208     18.356058     17.162845     17.121675      7.192078
      0.720733     18.416144     17.217754     17.177117      7.207325
      0.722256     18.476251     17.272663     17.232559      7.222557
      0.723777     18.536379     17.327572     17.288001      7.237772
      0.725297     18.596528     17.382481     17.343443      7.252971
      0.726815     18.656698     17.437390     17.398885      7.268154
      0.728332     18.716890     17.492299     17.454326      7.283322
      0.729847     18.777104     17.547207     17.509768      7.298474
      0.731361     18.837339     17.602116     17.565210      7.313610
      0.732873     18.897595     17.657025     17.620652      7.328730
      0.734383     18.957874     17.711934     17.676094      7.343835
      0.735892     19.018174     17.766843     17.731536      7.358924
      0.737400     19.078496     17.821752     17.786978      7.373998
      0.738906     19.138840     17.876661     17.842419      7.389056
      0.740410     19.199206     17.931570     17.897861      7.404099
      0.741913     19.259594     17.986478     17.953303      7.419127
      0.743414     19.320004     18.041387     18.008745      7.434140
      0.744914     19.380436     18.096296     18.064187      7.449137
      0.746412     19.440891     18.151205     18.119629      7.464120
      0.747909     19.501368     18.206114     18.175071      7.479087
      0.749404     19.561867     18.261023     18.230513      7.494040
      0.750898     19.622389     18.315932     18.285954      7.508977
      0.752390     19.682934     18.370841     18.341396      7.523900
      0.753881     19.743501     18.425749     18.396838      7.538808
      0.755370     19.804091     18.480658     18.452280      7.553701
      0.756858     19.864704     18.535567     18.507722      7.568579
      0.758344     19.925340     18.590476     18.563164      7.583443
      0.759829     19.985999     18.645385     18.618606      7.598293
      0.761313     20.046681     18.700294     18.674047      7.613127
      0.762795     20.107386     18.755203     18.729489      7.627948
      0.764275     20.168114     18.810112     18.784931      7.642754
      0.765755     20.228866     18.865021     18.840373      7.657546
      0.767232     20.289641     18.919929     18.895815      7.672323
      0.768709     20.350439     18.974838     18.951257      7.687086
      0.770184     20.411261     19.029747     19.006699      7.701835
      0.771657     20.472107     19.084656     19.062140      7.716570
      0.773129     20.532976     19.139565     19.117582      7.731291
      0.774600     20.593869     19.194474     19.173024      7.745998
      0.776069     20.654786     19.249383     19.228466      7.760691
      0.777537     20.715727     19.304292     19.283908      7.775370
      0.779004     20.776691     19.359200     19.339350      7.790035
      0.780469     20.837680     19.414109     19.394792      7.804686
      0.781932     20.898693     19.469018     19.450234      7.819324
      0.783395     20.959730     19.523927     19.505675      7.833948
      0.784856     21.020792     19.578836     19.561117      7.848558
      0.786316     21.081878     19.633745     19.616559      7.863155
      0.787774     21.142988     19.688654     19.672001      7.877738
      0.789231     21.204123     19.743563     19.727443      7.892308
      0.790686     21.265283     19.798471     19.782885      7.906864
      0.792141     21.326467     19.853380     19.838327      7.921407
      0.793594     21.387676     19.908289     19.893768      7.935937
      0.795045     21.448910     19.963198     19.949210      7.950453
      0.796496     21.510169     20.018107     20.004652      7.964956
      0.797945     21.571453     20.073016     20.060094      7.979446
      0.799392     21.632761     20.127925     20.115536      7.993923
      0.800839     21.694096     20.182834     20.170978      8.008386
      0.802284     21.755455     20.237742     20.226420      8.022837
      0.803727     21.816840     20.292651     20.281861      8.037274
      0.805170     21.878250     20.347560     20.337303      8.051699
      0.806611     21.939685     20.402469     20.392745      8.066111
      0.808051     22.001146     20.457378     20.448187      8.080509
      0.809490     22.062633     20.512287     20.503629      8.094895
      0.810927     22.124146     20.567196     20.559071      8.109269
      0.812363     22.185684     20.622105     20.614513      8.123629
      0.813798     22.247248     20.677013     20.669955      8.137977
